lat,long,elev,timediff
408635236,-778325723,3330,0:40:58.800000,2a3c600a
408635236,-778325723,3330,0:40:58.900000,2a3c600a
408635236,-778325723,3330,0:40:59,2a3c600a
408635236,-778325723,3330,0:40:59.100000,2a3c600a
408635236,-778325723,3330,0:40:59.200000,2a3c600a
408635236,-778325723,3330,0:40:59.310000,2a3c600a
408635236,-778325723,3330,0:40:59.400000,2a3c600a
408635236,-778325723,3330,0:40:59.550000,2a3c600a
408635236,-778325723,3330,0:40:59.820000,2a3c600a
408635236,-778325723,3330,0:40:59.900000,2a3c600a
408635236,-778325723,3330,0:40:59.990000,2a3c600a
408635236,-778325723,3330,0:41:00.070000,2a3c600a
408635236,-778325723,3330,0:41:00.170000,2a3c600a
408635236,-778325724,3330,0:41:00.280000,2a3c600a
408635236,-778325724,3330,0:41:00.370000,2a3c600a
408635236,-778325724,3330,0:41:00.570000,2a3c600a
408635236,-778325724,3330,0:41:00.770000,2a3c600a
408635236,-778325724,3330,0:41:00.980000,2a3c600a
408635236,-778325724,3330,0:41:01.050000,2a3c600a
408635236,-778325724,3330,0:41:01.180000,2a3c600a
408635236,-778325724,3330,0:41:01.240000,2a3c600a
408635236,-778325724,3330,0:41:01.390000,2a3c600a
408635236,-778325724,3330,0:41:01.470000,2a3c600a
408635236,-778325724,3330,0:41:01.500000,2a3c600a
408635236,-778325724,3330,0:41:01.700000,2a3c600a
408635236,-778325724,3330,0:41:01.780000,2a3c600a
408635236,-778325724,3330,0:41:01.800000,2a3c600a
408635236,-778325724,3330,0:41:01.870000,2a3c600a
408635236,-778325724,3330,0:41:01.910000,2a3c600a
408635236,-778325724,3330,0:41:02.010000,2a3c600a
408635236,-778325724,3330,0:41:02.120000,2a3c600a
408635236,-778325724,3330,0:41:02.180000,2a3c600a
408635236,-778325724,3330,0:41:02.210000,2a3c600a
408635236,-778325724,3330,0:41:02.270000,2a3c600a
408635236,-778325724,3330,0:41:02.330000,2a3c600a
408635236,-778325724,3330,0:41:02.400000,2a3c600a
408635236,-778325724,3330,0:41:02.420000,2a3c600a
408635236,-778325724,3330,0:41:02.620000,2a3c600a
408635236,-778325724,3330,0:41:02.740000,2a3c600a
408635236,-778325724,3330,0:41:02.830000,2a3c600a
408635236,-778325724,3330,0:41:02.930000,2a3c600a
408635236,-778325724,3330,0:41:03,2a3c600a
408635236,-778325724,3330,0:41:03.050000,2a3c600a
408635236,-778325724,3330,0:41:03.100000,2a3c600a
408635236,-778325724,3330,0:41:03.210000,2a3c600a
408635236,-778325724,3330,0:41:03.300000,2a3c600a
408635236,-778325724,3330,0:41:03.400000,2a3c600a
408635236,-778325724,3330,0:41:03.500000,2a3c600a
408635236,-778325724,3330,0:41:03.600000,2a3c600a
408635236,-778325724,3330,0:41:03.700000,2a3c600a
408635236,-778325724,3330,0:41:03.800000,2a3c600a
408635236,-778325724,3330,0:41:03.900000,2a3c600a
408635236,-778325724,3330,0:41:04,2a3c600a
408635236,-778325724,3330,0:41:04.110000,2a3c600a
408635236,-778325724,3330,0:41:04.200000,2a3c600a
408635236,-778325724,3330,0:41:04.300000,2a3c600a
408635236,-778325724,3330,0:41:04.410000,2a3c600a
408635236,-778325724,3330,0:41:04.700000,2a3c600a
408635236,-778325724,3330,0:41:04.790000,2a3c600a
408635236,-778325724,3330,0:41:04.880000,2a3c600a
408635236,-778325724,3330,0:41:05.070000,2a3c600a
408635236,-778325724,3330,0:41:05.280000,2a3c600a
408635236,-778325724,3330,0:41:05.340000,2a3c600a
408635236,-778325724,3330,0:41:05.490000,2a3c600a
408635236,-778325724,3330,0:41:05.560000,2a3c600a
408635236,-778325724,3330,0:41:05.680000,2a3c600a
408635236,-778325724,3330,0:41:05.890000,2a3c600a
408635236,-778325724,3330,0:41:05.950000,2a3c600a
408635236,-778325724,3330,0:41:06.110000,2a3c600a
408635236,-778325724,3330,0:41:06.310000,2a3c600a
408635236,-778325724,3330,0:41:06.510000,2a3c600a
408635236,-778325724,3330,0:41:06.720000,2a3c600a
408635236,-778325724,3330,0:41:06.740000,2a3c600a
408635236,-778325724,3330,0:41:06.910000,2a3c600a
408635236,-778325724,3330,0:41:07.130000,2a3c600a
408635236,-778325724,3330,0:41:07.330000,2a3c600a
408635236,-778325724,3330,0:41:07.390000,2a3c600a
408635236,-778325724,3330,0:41:07.540000,2a3c600a
408635236,-778325724,3330,0:41:07.730000,2a3c600a
408635236,-778325724,3330,0:41:07.940000,2a3c600a
408635236,-778325724,3330,0:41:08.020000,2a3c600a
408635236,-778325724,3330,0:41:08.040000,2a3c600a
408635236,-778325724,3330,0:41:08.150000,2a3c600a
408635236,-778325724,3330,0:41:08.170000,2a3c600a
408635236,-778325724,3330,0:41:08.260000,2a3c600a
408635236,-778325724,3330,0:41:08.360000,2a3c600a
408635236,-778325724,3330,0:41:08.380000,2a3c600a
408635236,-778325724,3330,0:41:08.460000,2a3c600a
408635236,-778325724,3330,0:41:08.530000,2a3c600a
408635236,-778325724,3330,0:41:08.670000,2a3c600a
408635236,-778325724,3330,0:41:08.770000,2a3c600a
408635236,-778325724,3330,0:41:08.870000,2a3c600a
408635236,-778325724,3330,0:41:08.970000,2a3c600a
408635236,-778325724,3330,0:41:09.080000,2a3c600a
408635236,-778325724,3330,0:41:09.200000,2a3c600a
408635236,-778325724,3330,0:41:09.280000,2a3c600a
408635236,-778325724,3330,0:41:09.380000,2a3c600a
408635236,-778325724,3330,0:41:09.490000,2a3c600a
408635236,-778325724,3330,0:41:09.510000,2a3c600a
408635236,-778325724,3330,0:41:09.520000,2a3c600a
408635236,-778325724,3330,0:41:09.530000,2a3c600a
408635236,-778325724,3330,0:41:09.600000,2a3c600a
408635236,-778325724,3330,0:41:09.620000,2a3c600a
408635236,-778325724,3330,0:41:09.640000,2a3c600a
408635236,-778325724,3330,0:41:09.650000,2a3c600a
408635236,-778325724,3330,0:41:09.680000,2a3c600a
408635236,-778325724,3330,0:41:09.690000,2a3c600a
408635236,-778325724,3330,0:41:09.700000,2a3c600a
